── epoche2.wav   (Spiel-Jahr 1600)
       0s  ab 1600  Synthetische Cembalo-Musik (Stil: Barock)
       0s  ab -100000  Leises Hintergrundrauschen (Wind/Atmo)
       0s  ab -1500  Sägen von Holz mit einer Handsäge
       4s  ab 1200  Quietschendes Holzrad (z. B. Schubkarre)
       7s  ab -2000  Schleifen eines schweren Steins (z. B. Mühlstein)
      11s  ab -3000  Hämmern auf Holz
      14s  ab -100000  Einschenken einer Flüssigkeit
      16s  ab -5000  Kehren mit einem Reisigbesen
      20s  ab -1000  Schlagen einer hellen Metallglocke
      24s  ab 1200  Quietschendes Holzrad (z. B. Schubkarre)
      28s  ab -3000  Hämmern auf Holz

