E1:  gesamt  29.6 % der Flaeche,  13.4 % des untersten Sechstels
     die Kopfleiste   5.9 %   unten   9.4 %
     DIE STADT       10.6 %   unten   0.0 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E2:  gesamt  30.3 % der Flaeche,  11.9 % des untersten Sechstels
     die Kopfleiste   5.9 %   unten   8.6 %
     DIE STADT       11.2 %   unten   0.0 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E3:  gesamt  29.1 % der Flaeche,  12.5 % des untersten Sechstels
     die Kopfleiste   6.1 %   unten   8.9 %
     DIE STADT       10.8 %   unten   0.0 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E4:  gesamt  29.8 % der Flaeche,  11.9 % des untersten Sechstels
     die Kopfleiste   6.0 %   unten   8.6 %
     DIE STADT       10.6 %   unten   0.0 %
     DIE FUHRE        0.1 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.2 %   unten   0.0 %
