E1:  gesamt  27.8 % der Flaeche,  60.7 % des untersten Sechstels
     DIE STADT        8.0 %   unten  47.1 %
     die Kopfleiste   5.9 %   unten   9.4 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E2:  gesamt  28.2 % der Flaeche,  59.6 % des untersten Sechstels
     DIE STADT        8.0 %   unten  47.3 %
     die Kopfleiste   5.9 %   unten   8.6 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          1.4 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E3:  gesamt  27.1 % der Flaeche,  60.1 % des untersten Sechstels
     DIE STADT        8.0 %   unten  47.2 %
     die Kopfleiste   6.1 %   unten   8.9 %
     DIE FUHRE        0.0 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          2.3 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.4 %   unten   0.0 %
E4:  gesamt  27.7 % der Flaeche,  59.5 % des untersten Sechstels
     DIE STADT        8.0 %   unten  47.1 %
     die Kopfleiste   6.0 %   unten   8.6 %
     DIE FUHRE        0.1 %   unten   0.0 %
     DER PREIS        2.1 %   unten   0.0 %
     DER GEGNER       0.0 %   unten   0.0 %
     DER SUD          1.4 %   unten   0.0 %
     DER NAME         0.0 %   unten   0.0 %
     DAS ERBE         3.2 %   unten   0.0 %
